id,radius1,lambda1,lambda2,convexity,sphericity,varCurv,intCurv,b1,b2,muK,IK2,varK
3057,2.2900407575e-01,3.5737554143e-01,3.3691547248e-01,9.9943345190e-01,1.0000000000e+00,2.3131689019e-03,1.1998906077e+01,3.6200000000e-01,3.3420000000e-01,2.2199731945e+00,7.1376597784e-02,1.2691703900e-01
3058,2.8303767811e-01,3.7348203994e-01,3.3231772537e-01,9.9994977723e-01,1.0000000000e+00,7.5568826205e-03,1.1522463405e+01,3.7170000000e-01,3.3830000000e-01,1.9710508800e+00,5.6030218446e-02,0.0000000000e+00
3059,-3.3022795692e-01,3.7649109722e-01,3.2146146623e-01,9.9861786935e-01,9.9617347226e-01,5.9097714475e-03,9.9852578605e+00,3.6100000000e-01,3.5450000000e-01,2.5467395289e+00,1.1484527901e-01,4.4716821640e-01
3060,2.0873798637e-01,3.9154116754e-01,3.1718207528e-01,9.9914714422e-01,9.8428677426e-01,3.2686813008e-02,9.3165449211e+00,3.7930000000e-01,3.5580000000e-01,2.1568544270e+00,8.0596155766e-02,1.5493297911e-01
3061,-3.4407113343e-01,4.1710732524e-01,3.0557401759e-01,9.9606296024e-01,9.3300185098e-01,5.3061185725e-03,6.0971600572e+00,3.9600000000e-01,3.7490000000e-01,2.7032870485e+00,1.1951408664e-01,6.5668397537e-01
3062,1.3851080689e-02,3.6778987173e-01,3.3718993794e-01,9.9943335986e-01,1.0000000000e+00,2.1508935685e-03,1.1088172375e+01,3.7340000000e-01,3.3030000000e-01,2.1710311621e+00,8.1768118125e-02,3.6710542205e-01
3063,-1.0579705164e-01,4.5943100075e-01,4.4659525637e-01,7.6883371603e-01,7.4986592433e-01,6.0276447191e-02,1.6181966019e+01,5.4410000000e-01,2.4040000000e-01,2.9793811677e+00,1.3275901662e-01,8.5424465644e-01
3064,1.1527097138e-01,3.3595417637e-01,3.3431570253e-01,9.9922460648e-01,1.0000000000e+00,4.9249152340e-03,1.1091646663e+01,3.3530000000e-01,3.3300000000e-01,2.0487726619e+00,4.6535365229e-02,2.1253471803e-02
3065,2.9818228302e-01,3.6442404355e-01,3.2978553856e-01,9.9931968839e-01,1.0000000000e+00,2.9283824259e-03,1.2385803371e+01,3.6220000000e-01,3.3770000000e-01,2.1041628040e+00,5.0111796543e-02,3.2483999517e-02
3066,2.7796058748e-01,3.4375917448e-01,3.3028230409e-01,9.9961553259e-01,1.0000000000e+00,4.8277119596e-04,1.2717470389e+01,3.3970000000e-01,3.3710000000e-01,1.9047835749e+00,3.5609903047e-02,0.0000000000e+00
3067,2.9384411905e-01,3.7653218530e-01,3.3188530404e-01,9.9995287848e-01,1.0000000000e+00,6.2228730962e-03,1.2062184170e+01,3.7880000000e-01,3.3640000000e-01,2.0527807633e+00,5.6330218429e-02,3.5865233667e-02
3068,1.3010667305e-02,3.6659755074e-01,3.4261654531e-01,9.9847877290e-01,9.9708110354e-01,3.0655798112e-03,1.0002922317e+01,3.8440000000e-01,3.2180000000e-01,2.4317182611e+00,6.7310911189e-02,6.0463712112e-01
3069,1.1763751663e-01,3.4588245954e-01,3.3323819555e-01,9.9941970482e-01,1.0000000000e+00,9.0727009088e-04,1.0273292329e+01,3.4280000000e-01,3.3730000000e-01,2.2131931326e+00,6.1950274454e-02,3.1445477599e-01
3070,1.1359792180e-01,3.4874402792e-01,3.3835289201e-01,9.9984545509e-01,1.0000000000e+00,1.1222156715e-03,1.2698726211e+01,3.5630000000e-01,3.2560000000e-01,2.0805746384e+00,6.3892018030e-02,9.3829247675e-02
3071,2.9212345702e-01,3.5367828610e-01,3.2984640949e-01,9.9986445634e-01,1.0000000000e+00,2.1049035804e-03,1.2983760243e+01,3.4780000000e-01,3.4210000000e-01,2.0416960180e+00,4.8967369567e-02,1.8234512740e-02
3072,2.3799403713e-01,3.6757496682e-01,3.3060629601e-01,9.9984506529e-01,1.0000000000e+00,4.7426654207e-03,1.2181441374e+01,3.6210000000e-01,3.4210000000e-01,2.0752670688e+00,6.1923061322e-02,3.4536891680e-02
3073,1.8346762625e-01,3.7518236030e-01,3.3756930793e-01,9.9909912048e-01,9.9796573618e-01,4.2496277231e-03,1.1052597344e+01,3.8450000000e-01,3.2260000000e-01,2.2052212522e+00,7.3802381722e-02,1.1810167854e-01
3074,-4.0848636934e-01,4.1400934655e-01,3.2792739176e-01,9.9502813442e-01,9.3825930588e-01,9.1452611222e-03,6.6629934490e+00,4.0490000000e-01,3.6200000000e-01,2.6600967553e+00,1.2776670528e-01,4.0236686391e-01
3075,2.1611349128e-01,3.7988462133e-01,3.3345635471e-01,9.9943041695e-01,9.9250158731e-01,4.5695347240e-03,9.8595071594e+00,3.8520000000e-01,3.3690000000e-01,2.1368929496e+00,5.9316514667e-02,1.3742301654e-01
3076,2.2240537074e-01,3.7924289793e-01,3.4189622446e-01,9.9942070414e-01,9.9621242318e-01,8.2606872872e-03,1.1387160972e+01,3.8780000000e-01,3.3070000000e-01,2.1557136774e+00,8.7722450857e-02,9.2863180775e-02
3077,1.7170186888e-01,3.6634851851e-01,3.3496078792e-01,9.9930008626e-01,1.0000000000e+00,3.1527490048e-03,1.1343523067e+01,3.7120000000e-01,3.3090000000e-01,2.1165321304e+00,5.8536326673e-02,8.0062794349e-02
3078,2.8167652612e-01,3.9313853383e-01,3.1621008856e-01,9.8892596606e-01,9.5437403884e-01,1.5533111217e-01,8.1365921924e+00,3.7520000000e-01,3.5280000000e-01,3.0300938521e+00,1.5370251692e-01,6.4641951455e-01
3079,-4.9177812092e-01,4.3424745235e-01,3.6084159905e-01,9.9393689552e-01,8.8584887252e-01,6.3306548132e-03,5.4027168025e+00,4.7590000000e-01,3.0730000000e-01,2.7848079282e+00,1.4746845218e-01,4.2458640261e-01
3080,1.1449476629e-01,3.4469219767e-01,3.3609608699e-01,9.9938621978e-01,1.0000000000e+00,1.8253837288e-03,9.9950758466e+00,3.4890000000e-01,3.3610000000e-01,2.1514642720e+00,5.4709932366e-02,1.8017147687e-01
3081,1.2611729145e-01,3.4883213218e-01,3.3778483446e-01,9.9910277307e-01,1.0000000000e+00,9.4321239462e-04,1.2319112686e+01,3.5300000000e-01,3.3170000000e-01,2.1287799510e+00,5.0225018860e-02,8.8395121362e-02
3082,8.0637311791e-02,4.4923294195e-01,3.1537331198e-01,9.4895146962e-01,7.8203353732e-01,1.3646501834e-01,3.5607530807e+00,4.3390000000e-01,3.7860000000e-01,3.9037789133e+00,2.6635229588e-01,7.0039850260e-01
3083,2.7194070949e-01,3.4166666667e-01,3.3434125270e-01,1.0000021283e+00,1.0000000000e+00,1.0730503166e-03,1.2920483006e+01,3.4560000000e-01,3.2800000000e-01,1.8999669207e+00,2.6842473868e-02,0.0000000000e+00
3084,3.0335154218e-01,3.6155817232e-01,3.4041824445e-01,9.9935486140e-01,1.0000000000e+00,2.9483261798e-03,1.2057646788e+01,3.7100000000e-01,3.3320000000e-01,1.9346265331e+00,5.1467086434e-02,0.0000000000e+00
3085,3.1586594968e-01,3.5049120710e-01,3.3235119975e-01,9.9978212621e-01,1.0000000000e+00,1.1095369779e-03,1.3215398658e+01,3.4850000000e-01,3.3520000000e-01,1.9583975718e+00,3.5000467186e-02,0.0000000000e+00
